Combination,TwoChance,TwoKeptPositions,OneChance,OneKeptPositions
000005,0.4195011337868481,"[0, 1, 2]",0.23809523809523808,"[0, 1, 2]"
000014,0.4195011337868481,"[1, 2, 3]",0.23809523809523808,"[1, 2, 3]"
000104,0.4195011337868481,"[1, 2, 3]",0.23809523809523808,"[1, 2, 3]"
001004,0.4195011337868481,"[1, 2, 3]",0.23809523809523808,"[1, 2, 3]"
010004,0.4195011337868481,"[1, 2, 3]",0.23809523809523808,"[1, 2, 3]"
100004,0.4195011337868481,"[1, 2, 3]",0.23809523809523808,"[1, 2, 3]"
000023,1,"[0, 1, 2, 3, 4]",1,"[0, 1, 2, 3, 4]"
000113,0.4195011337868481,"[2, 3, 4]",0.23809523809523808,"[2, 3, 4]"
001013,0.4195011337868481,"[2, 3, 4]",0.23809523809523808,"[2, 3, 4]"
010013,0.4195011337868481,"[2, 3, 4]",0.23809523809523808,"[2, 3, 4]"
100013,0.4195011337868481,"[2, 3, 4]",0.23809523809523808,"[2, 3, 4]"
000203,1,"[0, 1, 2, 3, 4]",1,"[0, 1, 2, 3, 4]"
001103,0.4195011337868481,"[2, 3, 4]",0.23809523809523808,"[2, 3, 4]"
010103,0.4195011337868481,"[2, 3, 4]",0.23809523809523808,"[2, 3, 4]"
100103,0.4195011337868481,"[2, 3, 4]",0.23809523809523808,"[2, 3, 4]"
002003,1,"[0, 1, 2, 3, 4]",1,"[0, 1, 2, 3, 4]"
011003,0.4195011337868481,"[2, 3, 4]",0.23809523809523808,"[2, 3, 4]"
101003,0.4195011337868481,"[2, 3, 4]",0.23809523809523808,"[2, 3, 4]"
020003,1,"[0, 1, 2, 3, 4]",1,"[0, 1, 2, 3, 4]"
110003,0.4195011337868481,"[2, 3, 4]",0.23809523809523808,"[2, 3, 4]"
200003,1,"[0, 1, 2, 3, 4]",1,"[0, 1, 2, 3, 4]"
000032,1,"[0, 1, 2, 3, 4]",1,"[0, 1, 2, 3, 4]"
000122,0.5555555555555557,"[1, 2, 3, 4]",0.3333333333333333,"[1, 2, 3, 4]"
001022,0.5555555555555557,"[1, 2, 3, 4]",0.3333333333333333,"[1, 2, 3, 4]"
010022,0.5555555555555557,"[1, 2, 3, 4]",0.3333333333333333,"[1, 2, 3, 4]"
100022,0.5555555555555557,"[1, 2, 3, 4]",0.3333333333333333,"[1, 2, 3, 4]"
000212,0.5555555555555556,"[0, 1, 3, 4]",0.3333333333333333,"[0, 1, 3, 4]"
001112,0.39753401360544205,"[3, 4]",0.17857142857142858,"[3, 4]"
010112,0.39753401360544205,"[3, 4]",0.17857142857142858,"[3, 4]"
100112,0.39753401360544205,"[3, 4]",0.17857142857142858,"[3, 4]"
002012,0.5555555555555556,"[0, 1, 3, 4]",0.3333333333333333,"[0, 1, 3, 4]"
011012,0.39753401360544205,"[3, 4]",0.17857142857142858,"[3, 4]"
101012,0.39753401360544205,"[3, 4]",0.17857142857142858,"[3, 4]"
020012,0.5555555555555556,"[0, 1, 3, 4]",0.3333333333333333,"[0, 1, 3, 4]"
110012,0.39753401360544205,"[3, 4]",0.17857142857142858,"[3, 4]"
200012,0.5555555555555555,"[0, 1, 3, 4]",0.3333333333333333,"[0, 1, 3, 4]"
000302,1,"[0, 1, 2, 3, 4]",1,"[0, 1, 2, 3, 4]"
001202,0.5555555555555556,"[1, 2, 3, 4]",0.3333333333333333,"[1, 2, 3, 4]"
010202,0.5555555555555556,"[1, 2, 3, 4]",0.3333333333333333,"[1, 2, 3, 4]"
100202,0.5555555555555556,"[1, 2, 3, 4]",0.3333333333333333,"[1, 2, 3, 4]"
002102,0.5555555555555556,"[0, 1, 3, 4]",0.3333333333333333,"[0, 1, 3, 4]"
011102,0.39753401360544205,"[3, 4]",0.17857142857142858,"[3, 4]"
101102,0.39753401360544205,"[3, 4]",0.17857142857142858,"[3, 4]"
020102,0.5555555555555556,"[0, 1, 3, 4]",0.3333333333333333,"[0, 1, 3, 4]"
110102,0.39753401360544205,"[3, 4]",0.17857142857142858,"[3, 4]"
200102,0.5555555555555555,"[0, 1, 3, 4]",0.3333333333333333,"[0, 1, 3, 4]"
003002,1,"[0, 1, 2, 3, 4]",1,"[0, 1, 2, 3, 4]"
012002,0.5555555555555556,"[1, 2, 3, 4]",0.3333333333333333,"[1, 2, 3, 4]"
102002,0.5555555555555556,"[1, 2, 3, 4]",0.3333333333333333,"[1, 2, 3, 4]"
021002,0.5555555555555556,"[0, 1, 3, 4]",0.3333333333333333,"[0, 1, 3, 4]"
111002,0.39753401360544205,"[3, 4]",0.17857142857142858,"[3, 4]"
201002,0.5555555555555555,"[0, 1, 3, 4]",0.3333333333333333,"[0, 1, 3, 4]"
030002,1,"[0, 1, 2, 3, 4]",1,"[0, 1, 2, 3, 4]"
120002,0.5555555555555556,"[1, 2, 3, 4]",0.3333333333333333,"[1, 2, 3, 4]"
210002,0.5555555555555555,"[0, 1, 3, 4]",0.3333333333333333,"[0, 1, 3, 4]"
300002,1,"[0, 1, 2, 3, 4]",1,"[0, 1, 2, 3, 4]"
000041,0.4195011337868481,"[0, 1, 2]",0.23809523809523808,"[0, 1, 2]"
000131,0.4195011337868481,"[1, 2, 3]",0.23809523809523808,"[1, 2, 3]"
001031,0.4195011337868481,"[1, 2, 3]",0.23809523809523808,"[1, 2, 3]"
010031,0.4195011337868481,"[1, 2, 3]",0.23809523809523808,"[1, 2, 3]"
100031,0.4195011337868481,"[1, 2, 3]",0.23809523809523808,"[1, 2, 3]"
000221,0.5555555555555556,"[0, 1, 2, 3]",0.3333333333333333,"[0, 1, 2, 3]"
001121,0.3975340136054419,"[2, 3]",0.17857142857142858,"[2, 3]"
010121,0.3975340136054419,"[2, 3]",0.17857142857142858,"[2, 3]"
100121,0.3975340136054419,"[2, 3]",0.17857142857142858,"[2, 3]"
002021,0.5555555555555556,"[0, 1, 2, 3]",0.3333333333333333,"[0, 1, 2, 3]"
011021,0.3975340136054419,"[2, 3]",0.17857142857142858,"[2, 3]"
101021,0.3975340136054419,"[2, 3]",0.17857142857142858,"[2, 3]"
020021,0.5555555555555556,"[0, 1, 2, 3]",0.3333333333333333,"[0, 1, 2, 3]"
110021,0.3975340136054419,"[2, 3]",0.17857142857142858,"[2, 3]"
200021,0.5555555555555555,"[0, 1, 2, 3]",0.3333333333333333,"[0, 1, 2, 3]"
000311,0.4195011337868481,"[0, 1, 2]",0.23809523809523808,"[0, 1, 2]"
001211,0.397534013605442,"[1, 2]",0.17857142857142858,"[1, 2]"
010211,0.397534013605442,"[1, 2]",0.17857142857142858,"[1, 2]"
100211,0.397534013605442,"[1, 2]",0.17857142857142858,"[1, 2]"
002111,0.397534013605442,"[0, 1]",0.17857142857142858,"[0, 1]"
011111,0.3344671201814067,[],0.11904761904761904,[]
101111,0.3344671201814067,[],0.11904761904761904,[]
020111,0.39753401360544205,"[0, 1]",0.17857142857142858,"[0, 1]"
110111,0.3344671201814067,[],0.11904761904761904,[]
200111,0.39753401360544205,"[0, 1]",0.17857142857142858,"[0, 1]"
003011,0.4195011337868481,"[0, 1, 2]",0.23809523809523808,"[0, 1, 2]"
012011,0.397534013605442,"[1, 2]",0.17857142857142858,"[1, 2]"
102011,0.397534013605442,"[1, 2]",0.17857142857142858,"[1, 2]"
021011,0.39753401360544205,"[0, 1]",0.17857142857142858,"[0, 1]"
111011,0.3344671201814067,[],0.11904761904761904,[]
201011,0.39753401360544205,"[0, 1]",0.17857142857142858,"[0, 1]"
030011,0.4195011337868481,"[0, 1, 2]",0.23809523809523808,"[0, 1, 2]"
120011,0.39753401360544205,"[1, 2]",0.17857142857142858,"[1, 2]"
210011,0.39753401360544205,"[0, 1]",0.17857142857142858,"[0, 1]"
300011,0.419501133786848,"[0, 1, 2]",0.23809523809523808,"[0, 1, 2]"
000401,0.4195011337868481,"[0, 1, 2]",0.23809523809523808,"[0, 1, 2]"
001301,0.4195011337868481,"[1, 2, 3]",0.23809523809523808,"[1, 2, 3]"
010301,0.4195011337868481,"[1, 2, 3]",0.23809523809523808,"[1, 2, 3]"
100301,0.4195011337868481,"[1, 2, 3]",0.23809523809523808,"[1, 2, 3]"
