Combination,TwoChance,TwoKeptPositions,OneChance,OneKeptPositions
000005,0.2784076593600403,[],0.06349206349206349,[]
000014,0.30240614764424295,[0],0.10714285714285714,"[0, 1]"
000104,0.3871882086167802,[0],0.12698412698412698,[0]
001004,0.38718820861678016,[0],0.12698412698412698,[0]
010004,0.3024061476442427,[0],0.0873015873015873,[0]
100004,0.2784076593600403,[],0.06349206349206349,[]
000023,0.30240614764424295,[0],0.10714285714285714,"[0, 2]"
000113,0.489795918367347,"[0, 1, 2]",0.2857142857142857,"[0, 1, 2]"
001013,0.48979591836734715,"[0, 1, 2]",0.2857142857142857,"[0, 1, 2]"
010013,0.30240614764424295,[1],0.10714285714285714,"[0, 1]"
100013,0.30240614764424295,[1],0.10714285714285714,"[1, 2]"
000203,0.3871882086167802,[0],0.12698412698412698,[0]
001103,0.5918367346938778,"[0, 1, 2]",0.3333333333333333,"[0, 1, 2]"
010103,0.4525935374149662,"[0, 1]",0.19642857142857142,"[0, 1]"
100103,0.3871882086167802,[1],0.12698412698412698,[1]
002003,0.38718820861678016,[0],0.12698412698412698,[0]
011003,0.4525935374149662,"[0, 1]",0.19642857142857142,"[0, 1]"
101003,0.38718820861678016,[1],0.12698412698412698,[1]
020003,0.3024061476442427,[0],0.0873015873015873,[0]
110003,0.3024061476442427,[1],0.10714285714285714,"[0, 1]"
200003,0.2784076593600403,[],0.06349206349206349,[]
000032,0.30240614764424295,[0],0.10714285714285714,"[0, 3]"
000122,0.489795918367347,"[0, 1, 3]",0.2857142857142857,"[0, 1, 3]"
001022,0.48979591836734715,"[0, 1, 3]",0.2857142857142857,"[0, 1, 3]"
010022,0.30240614764424295,[1],0.10714285714285714,"[0, 1]"
100022,0.30240614764424295,[1],0.10714285714285714,"[1, 3]"
000212,0.489795918367347,"[0, 2, 3]",0.2857142857142857,"[0, 2, 3]"
001112,1,"[0, 1, 2, 3, 4]",1,"[0, 1, 2, 3, 4]"
010112,0.489795918367347,"[0, 1, 2]",0.2857142857142857,"[0, 1, 2]"
100112,0.489795918367347,"[1, 2, 3]",0.2857142857142857,"[1, 2, 3]"
002012,0.48979591836734715,"[0, 2, 3]",0.2857142857142857,"[0, 2, 3]"
011012,0.48979591836734715,"[0, 1, 2]",0.2857142857142857,"[0, 1, 2]"
101012,0.48979591836734715,"[1, 2, 3]",0.2857142857142857,"[1, 2, 3]"
020012,0.30240614764424295,[2],0.10714285714285714,"[0, 2]"
110012,0.30240614764424295,[2],0.10714285714285714,"[0, 1]"
200012,0.30240614764424295,[2],0.10714285714285714,"[2, 3]"
000302,0.3871882086167802,[0],0.12698412698412698,[0]
001202,0.5918367346938778,"[0, 1, 3]",0.3333333333333333,"[0, 1, 3]"
010202,0.4525935374149662,"[0, 1]",0.19642857142857142,"[0, 1]"
100202,0.3871882086167802,[1],0.12698412698412698,[1]
002102,0.5918367346938778,"[0, 2, 3]",0.3333333333333333,"[0, 2, 3]"
011102,0.7732426303854875,"[0, 1, 2]",0.5238095238095238,"[0, 1, 2]"
101102,0.5918367346938778,"[1, 2, 3]",0.3333333333333333,"[0, 1, 2, 3]"
020102,0.4525935374149662,"[0, 2]",0.19642857142857142,"[0, 2]"
110102,0.489795918367347,"[0, 1, 2]",0.2857142857142857,"[0, 1, 2]"
200102,0.3871882086167802,[2],0.12698412698412698,[2]
003002,0.38718820861678016,[0],0.12698412698412698,[0]
012002,0.4525935374149662,"[0, 1]",0.19642857142857142,"[0, 1]"
102002,0.38718820861678016,[1],0.12698412698412698,[1]
021002,0.4525935374149662,"[0, 2]",0.19642857142857142,"[0, 2]"
111002,0.48979591836734715,"[0, 1, 2]",0.2857142857142857,"[0, 1, 2]"
201002,0.38718820861678016,[2],0.12698412698412698,[2]
030002,0.3024061476442427,[0],0.0873015873015873,[0]
120002,0.3024061476442427,[1],0.10714285714285714,"[0, 1]"
210002,0.3024061476442427,[2],0.10714285714285714,"[0, 2]"
300002,0.2784076593600403,[],0.06349206349206349,[]
000041,0.30240614764424295,[0],0.10714285714285714,"[0, 4]"
000131,0.489795918367347,"[0, 1, 4]",0.2857142857142857,"[0, 1, 4]"
001031,0.48979591836734715,"[0, 1, 4]",0.2857142857142857,"[0, 1, 4]"
010031,0.30240614764424295,[1],0.10714285714285714,"[0, 1]"
100031,0.30240614764424295,[1],0.10714285714285714,"[1, 4]"
000221,0.489795918367347,"[0, 2, 4]",0.2857142857142857,"[0, 2, 4]"
001121,1,"[0, 1, 2, 3, 4]",1,"[0, 1, 2, 3, 4]"
010121,0.489795918367347,"[0, 1, 2]",0.2857142857142857,"[0, 1, 2]"
100121,0.489795918367347,"[1, 2, 4]",0.2857142857142857,"[1, 2, 4]"
002021,0.48979591836734715,"[0, 2, 4]",0.2857142857142857,"[0, 2, 4]"
011021,0.48979591836734715,"[0, 1, 2]",0.2857142857142857,"[0, 1, 2]"
101021,0.48979591836734715,"[1, 2, 4]",0.2857142857142857,"[1, 2, 4]"
020021,0.30240614764424295,[2],0.10714285714285714,"[0, 2]"
110021,0.30240614764424295,[2],0.10714285714285714,"[0, 1]"
200021,0.30240614764424295,[2],0.10714285714285714,"[2, 4]"
000311,0.489795918367347,"[0, 3, 4]",0.2857142857142857,"[0, 3, 4]"
001211,1,"[0, 1, 2, 3, 4]",1,"[0, 1, 2, 3, 4]"
010211,0.489795918367347,"[0, 1, 3]",0.2857142857142857,"[0, 1, 3]"
100211,0.489795918367347,"[1, 3, 4]",0.2857142857142857,"[1, 3, 4]"
002111,1,"[0, 1, 2, 3, 4]",1,"[0, 1, 2, 3, 4]"
011111,1,"[0, 1, 2, 3, 4]",1,"[0, 1, 2, 3, 4]"
101111,1,"[0, 1, 2, 3, 4]",1,"[0, 1, 2, 3, 4]"
020111,0.489795918367347,"[0, 2, 3]",0.2857142857142857,"[0, 2, 3]"
110111,0.489795918367347,"[0, 1, 2]",0.2857142857142857,"[0, 1, 2]"
200111,0.489795918367347,"[2, 3, 4]",0.2857142857142857,"[2, 3, 4]"
003011,0.48979591836734715,"[0, 3, 4]",0.2857142857142857,"[0, 3, 4]"
012011,0.48979591836734715,"[0, 1, 3]",0.2857142857142857,"[0, 1, 3]"
102011,0.48979591836734715,"[1, 3, 4]",0.2857142857142857,"[1, 3, 4]"
021011,0.48979591836734715,"[0, 2, 3]",0.2857142857142857,"[0, 2, 3]"
111011,0.48979591836734715,"[0, 1, 2]",0.2857142857142857,"[0, 1, 2]"
201011,0.48979591836734715,"[2, 3, 4]",0.2857142857142857,"[2, 3, 4]"
030011,0.30240614764424295,[3],0.10714285714285714,"[0, 3]"
120011,0.30240614764424295,[3],0.10714285714285714,"[0, 1]"
210011,0.30240614764424295,[3],0.10714285714285714,"[0, 2]"
300011,0.30240614764424295,[3],0.10714285714285714,"[3, 4]"
000401,0.3871882086167802,[0],0.12698412698412698,[0]
001301,0.5918367346938778,"[0, 1, 4]",0.3333333333333333,"[0, 1, 4]"
010301,0.4525935374149662,"[0, 1]",0.19642857142857142,"[0, 1]"
