Combination,TwoChance,TwoKeptPositions,OneChance,OneKeptPositions
000005,0.002663489088511729,[],0.0001286008230452675,[]
000014,0.002663489088511729,[],0.0001286008230452675,[]
000104,0.002663489088511729,[],0.0001286008230452675,[]
001004,0.002663489088511729,[],0.0001286008230452675,[]
010004,0.002663489088511729,[],0.0001286008230452675,[]
100004,0.008716873380582472,[0],0.0007716049382716049,[0]
000023,0.002663489088511729,[],0.0001286008230452675,[]
000113,0.002663489088511729,[],0.0001286008230452675,[]
001013,0.002663489088511729,[],0.0001286008230452675,[]
010013,0.002663489088511729,[],0.0001286008230452675,[]
100013,0.008716873380582472,[0],0.0007716049382716049,[0]
000203,0.002663489088511729,[],0.0001286008230452675,[]
001103,0.002663489088511729,[],0.0001286008230452675,[]
010103,0.002663489088511729,[],0.0001286008230452675,[]
100103,0.008716873380582472,[0],0.0007716049382716049,[0]
002003,0.002663489088511729,[],0.0001286008230452675,[]
011003,0.002663489088511729,[],0.0001286008230452675,[]
101003,0.008716873380582472,[0],0.0007716049382716049,[0]
020003,0.002663489088511729,[],0.0001286008230452675,[]
110003,0.008716873380582472,[0],0.0007716049382716049,[0]
200003,0.028527949245541886,"[0, 1]",0.004629629629629629,"[0, 1]"
000032,0.002663489088511729,[],0.0001286008230452675,[]
000122,0.002663489088511729,[],0.0001286008230452675,[]
001022,0.002663489088511729,[],0.0001286008230452675,[]
010022,0.002663489088511729,[],0.0001286008230452675,[]
100022,0.008716873380582472,[0],0.0007716049382716049,[0]
000212,0.002663489088511729,[],0.0001286008230452675,[]
001112,0.002663489088511729,[],0.0001286008230452675,[]
010112,0.002663489088511729,[],0.0001286008230452675,[]
100112,0.008716873380582472,[0],0.0007716049382716049,[0]
002012,0.002663489088511729,[],0.0001286008230452675,[]
011012,0.002663489088511729,[],0.0001286008230452675,[]
101012,0.008716873380582472,[0],0.0007716049382716049,[0]
020012,0.002663489088511729,[],0.0001286008230452675,[]
110012,0.008716873380582472,[0],0.0007716049382716049,[0]
200012,0.028527949245541886,"[0, 1]",0.004629629629629629,"[0, 1]"
000302,0.002663489088511729,[],0.0001286008230452675,[]
001202,0.002663489088511729,[],0.0001286008230452675,[]
010202,0.002663489088511729,[],0.0001286008230452675,[]
100202,0.008716873380582472,[0],0.0007716049382716049,[0]
002102,0.002663489088511729,[],0.0001286008230452675,[]
011102,0.002663489088511729,[],0.0001286008230452675,[]
101102,0.008716873380582472,[0],0.0007716049382716049,[0]
020102,0.002663489088511729,[],0.0001286008230452675,[]
110102,0.008716873380582472,[0],0.0007716049382716049,[0]
200102,0.028527949245541886,"[0, 1]",0.004629629629629629,"[0, 1]"
003002,0.002663489088511729,[],0.0001286008230452675,[]
012002,0.002663489088511729,[],0.0001286008230452675,[]
102002,0.008716873380582472,[0],0.0007716049382716049,[0]
021002,0.002663489088511729,[],0.0001286008230452675,[]
111002,0.008716873380582472,[0],0.0007716049382716049,[0]
201002,0.028527949245541886,"[0, 1]",0.004629629629629629,"[0, 1]"
030002,0.002663489088511729,[],0.0001286008230452675,[]
120002,0.008716873380582472,[0],0.0007716049382716049,[0]
210002,0.028527949245541886,"[0, 1]",0.004629629629629629,"[0, 1]"
300002,0.09336419753086413,"[0, 1, 2]",0.027777777777777776,"[0, 1, 2]"
000041,0.002663489088511729,[],0.0001286008230452675,[]
000131,0.002663489088511729,[],0.0001286008230452675,[]
001031,0.002663489088511729,[],0.0001286008230452675,[]
010031,0.002663489088511729,[],0.0001286008230452675,[]
100031,0.008716873380582472,[0],0.0007716049382716049,[0]
000221,0.002663489088511729,[],0.0001286008230452675,[]
001121,0.002663489088511729,[],0.0001286008230452675,[]
010121,0.002663489088511729,[],0.0001286008230452675,[]
100121,0.008716873380582472,[0],0.0007716049382716049,[0]
002021,0.002663489088511729,[],0.0001286008230452675,[]
011021,0.002663489088511729,[],0.0001286008230452675,[]
101021,0.008716873380582472,[0],0.0007716049382716049,[0]
020021,0.002663489088511729,[],0.0001286008230452675,[]
110021,0.008716873380582472,[0],0.0007716049382716049,[0]
200021,0.028527949245541886,"[0, 1]",0.004629629629629629,"[0, 1]"
000311,0.002663489088511729,[],0.0001286008230452675,[]
001211,0.002663489088511729,[],0.0001286008230452675,[]
010211,0.002663489088511729,[],0.0001286008230452675,[]
100211,0.008716873380582472,[0],0.0007716049382716049,[0]
002111,0.002663489088511729,[],0.0001286008230452675,[]
011111,0.002663489088511729,[],0.0001286008230452675,[]
101111,0.008716873380582472,[0],0.0007716049382716049,[0]
020111,0.002663489088511729,[],0.0001286008230452675,[]
110111,0.008716873380582472,[0],0.0007716049382716049,[0]
200111,0.028527949245541886,"[0, 1]",0.004629629629629629,"[0, 1]"
003011,0.002663489088511729,[],0.0001286008230452675,[]
012011,0.002663489088511729,[],0.0001286008230452675,[]
102011,0.008716873380582472,[0],0.0007716049382716049,[0]
021011,0.002663489088511729,[],0.0001286008230452675,[]
111011,0.008716873380582472,[0],0.0007716049382716049,[0]
201011,0.028527949245541886,"[0, 1]",0.004629629629629629,"[0, 1]"
030011,0.002663489088511729,[],0.0001286008230452675,[]
120011,0.008716873380582472,[0],0.0007716049382716049,[0]
210011,0.028527949245541886,"[0, 1]",0.004629629629629629,"[0, 1]"
300011,0.09336419753086413,"[0, 1, 2]",0.027777777777777776,"[0, 1, 2]"
000401,0.002663489088511729,[],0.0001286008230452675,[]
001301,0.002663489088511729,[],0.0001286008230452675,[]
010301,0.002663489088511729,[],0.0001286008230452675,[]
100301,0.008716873380582472,[0],0.0007716049382716049,[0]
002201,0.002663489088511729,[],0.0001286008230452675,[]
011201,0.002663489088511729,[],0.0001286008230452675,[]
101201,0.008716873380582472,[0],0.0007716049382716049,[0]
020201,0.002663489088511729,[],0.0001286008230452675,[]
110201,0.008716873380582472,[0],0.0007716049382716049,[0]
200201,0.028527949245541886,"[0, 1]",0.004629629629629629,"[0, 1]"
003101,0.002663489088511729,[],0.0001286008230452675,[]
012101,0.002663489088511729,[],0.0001286008230452675,[]
102101,0.008716873380582472,[0],0.0007716049382716049,[0]
021101,0.002663489088511729,[],0.0001286008230452675,[]
111101,0.008716873380582472,[0],0.0007716049382716049,[0]
201101,0.028527949245541886,"[0, 1]",0.004629629629629629,"[0, 1]"
030101,0.002663489088511729,[],0.0001286008230452675,[]
120101,0.008716873380582472,[0],0.0007716049382716049,[0]
210101,0.028527949245541886,"[0, 1]",0.004629629629629629,"[0, 1]"
300101,0.09336419753086413,"[0, 1, 2]",0.027777777777777776,"[0, 1, 2]"
004001,0.002663489088511729,[],0.0001286008230452675,[]
