Combination,TwoChance,TwoKeptPositions,OneChance,OneKeptPositions
000005,0.28163580246913583,"[0, 1, 2]",0.1388888888888889,"[0, 1, 2]"
000014,0.3055555555555555,"[0, 1, 2, 3]",0.16666666666666666,"[0, 1, 2, 3]"
000104,0.3055555555555556,"[0, 1, 2, 3]",0.16666666666666666,"[0, 1, 2, 3]"
001004,0.3055555555555556,"[0, 1, 2, 3]",0.16666666666666666,"[0, 1, 2, 3]"
010004,0.30555555555555564,"[0, 1, 2, 3]",0.16666666666666666,"[0, 1, 2, 3]"
100004,0.30555555555555564,"[0, 1, 2, 3]",0.16666666666666666,"[0, 1, 2, 3]"
000023,1,"[0, 1, 2, 3, 4]",1,"[0, 1, 2, 3, 4]"
000113,0.3055555555555556,"[0, 2, 3, 4]",0.16666666666666666,"[0, 2, 3, 4]"
001013,0.3055555555555556,"[0, 2, 3, 4]",0.16666666666666666,"[0, 2, 3, 4]"
010013,0.30555555555555564,"[0, 2, 3, 4]",0.16666666666666666,"[0, 2, 3, 4]"
100013,0.30555555555555564,"[0, 2, 3, 4]",0.16666666666666666,"[0, 2, 3, 4]"
000203,1,"[0, 1, 2, 3, 4]",1,"[0, 1, 2, 3, 4]"
001103,0.3055555555555556,"[0, 2, 3, 4]",0.16666666666666666,"[0, 2, 3, 4]"
010103,0.30555555555555564,"[0, 2, 3, 4]",0.16666666666666666,"[0, 2, 3, 4]"
100103,0.30555555555555564,"[0, 2, 3, 4]",0.16666666666666666,"[0, 2, 3, 4]"
002003,1,"[0, 1, 2, 3, 4]",1,"[0, 1, 2, 3, 4]"
011003,0.30555555555555564,"[0, 2, 3, 4]",0.16666666666666666,"[0, 2, 3, 4]"
101003,0.30555555555555564,"[0, 2, 3, 4]",0.16666666666666666,"[0, 2, 3, 4]"
020003,1,"[0, 1, 2, 3, 4]",1,"[0, 1, 2, 3, 4]"
110003,0.30555555555555564,"[0, 2, 3, 4]",0.16666666666666666,"[0, 2, 3, 4]"
200003,1,"[0, 1, 2, 3, 4]",1,"[0, 1, 2, 3, 4]"
000032,1,"[0, 1, 2, 3, 4]",1,"[0, 1, 2, 3, 4]"
000122,0.5555555555555555,"[1, 2, 3, 4]",0.3333333333333333,"[1, 2, 3, 4]"
001022,0.5555555555555555,"[1, 2, 3, 4]",0.3333333333333333,"[1, 2, 3, 4]"
010022,0.5555555555555555,"[1, 2, 3, 4]",0.3333333333333333,"[1, 2, 3, 4]"
100022,0.5555555555555555,"[1, 2, 3, 4]",0.3333333333333333,"[1, 2, 3, 4]"
000212,0.5555555555555556,"[0, 1, 3, 4]",0.3333333333333333,"[0, 1, 3, 4]"
001112,0.2694187242798352,"[3, 4]",0.09259259259259259,"[3, 4]"
010112,0.2694187242798352,"[3, 4]",0.09259259259259259,"[3, 4]"
100112,0.2694187242798352,"[3, 4]",0.09259259259259259,"[3, 4]"
002012,0.5555555555555555,"[0, 1, 3, 4]",0.3333333333333333,"[0, 1, 3, 4]"
011012,0.2694187242798352,"[3, 4]",0.09259259259259259,"[3, 4]"
101012,0.2694187242798352,"[3, 4]",0.09259259259259259,"[3, 4]"
020012,0.5555555555555555,"[0, 1, 3, 4]",0.3333333333333333,"[0, 1, 3, 4]"
110012,0.2694187242798352,"[3, 4]",0.09259259259259259,"[3, 4]"
200012,0.5555555555555555,"[0, 1, 3, 4]",0.3333333333333333,"[0, 1, 3, 4]"
000302,1,"[0, 1, 2, 3, 4]",1,"[0, 1, 2, 3, 4]"
001202,0.5555555555555556,"[1, 2, 3, 4]",0.3333333333333333,"[1, 2, 3, 4]"
010202,0.5555555555555556,"[1, 2, 3, 4]",0.3333333333333333,"[1, 2, 3, 4]"
100202,0.5555555555555556,"[1, 2, 3, 4]",0.3333333333333333,"[1, 2, 3, 4]"
