Combination,TwoChance,TwoKeptPositions,OneChance,OneKeptPositions
000005,0.1297471168012917,[],0.030864197530864196,[]
000014,0.1457047325102854,[0],0.037037037037037035,[0]
000104,0.1457047325102866,[0],0.037037037037037035,[0]
001004,0.14570473251028662,[0],0.037037037037037035,[0]
010004,0.14570473251028654,[0],0.037037037037037035,[0]
100004,0.1297471168012917,[],0.030864197530864196,[]
000023,0.1457047325102854,[0],0.037037037037037035,[0]
000113,0.1841563786008233,"[0, 1]",0.05555555555555555,"[0, 1, 2]"
001013,0.1841563786008233,"[0, 1]",0.05555555555555555,"[0, 1, 2]"
010013,0.18415637860082315,"[0, 1]",0.05555555555555555,"[0, 1, 2]"
100013,0.1457047325102854,[1],0.037037037037037035,[1]
000203,0.1457047325102866,[0],0.037037037037037035,[0]
001103,0.18415637860082315,"[0, 1]",0.05555555555555555,"[0, 1, 2]"
010103,0.18415637860082298,"[0, 1]",0.05555555555555555,"[0, 1, 2]"
100103,0.1457047325102866,[1],0.037037037037037035,[1]
002003,0.14570473251028662,[0],0.037037037037037035,[0]
011003,0.18415637860082282,"[0, 1]",0.05555555555555555,"[0, 1, 2]"
101003,0.14570473251028662,[1],0.037037037037037035,[1]
020003,0.14570473251028654,[0],0.037037037037037035,[0]
110003,0.14570473251028654,[1],0.037037037037037035,[1]
200003,0.1297471168012917,[],0.030864197530864196,[]
000032,0.1457047325102854,[0],0.037037037037037035,[0]
000122,0.1841563786008233,"[0, 1]",0.05555555555555555,"[0, 1, 3]"
001022,0.1841563786008233,"[0, 1]",0.05555555555555555,"[0, 1, 3]"
010022,0.18415637860082315,"[0, 1]",0.05555555555555555,"[0, 1, 3]"
100022,0.1457047325102854,[1],0.037037037037037035,[1]
000212,0.1841563786008233,"[0, 2]",0.05555555555555555,"[0, 2, 3]"
001112,0.30555555555555564,"[0, 1, 2, 3]",0.16666666666666666,"[0, 1, 2, 3]"
010112,0.3055555555555556,"[0, 1, 2, 3]",0.16666666666666666,"[0, 1, 2, 3]"
100112,0.1841563786008233,"[1, 2]",0.05555555555555555,"[0, 1, 2]"
002012,0.1841563786008233,"[0, 2]",0.05555555555555555,"[0, 2, 3]"
011012,0.3055555555555556,"[0, 1, 2, 3]",0.16666666666666666,"[0, 1, 2, 3]"
101012,0.1841563786008233,"[1, 2]",0.05555555555555555,"[0, 1, 2]"
020012,0.18415637860082315,"[0, 2]",0.05555555555555555,"[0, 2, 3]"
110012,0.18415637860082315,"[1, 2]",0.05555555555555555,"[0, 1, 2]"
200012,0.1457047325102854,[2],0.037037037037037035,[2]
000302,0.1457047325102866,[0],0.037037037037037035,[0]
001202,0.18415637860082315,"[0, 1]",0.05555555555555555,"[0, 1, 3]"
010202,0.18415637860082298,"[0, 1]",0.05555555555555555,"[0, 1, 3]"
100202,0.1457047325102866,[1],0.037037037037037035,[1]
002102,0.18415637860082315,"[0, 2]",0.05555555555555555,"[0, 2, 3]"
011102,0.3055555555555555,"[0, 1, 2, 3]",0.16666666666666666,"[0, 1, 2, 3]"
101102,0.18415637860082315,"[1, 2]",0.05555555555555555,"[0, 1, 2]"
020102,0.18415637860082298,"[0, 2]",0.05555555555555555,"[0, 2, 3]"
110102,0.18415637860082298,"[1, 2]",0.05555555555555555,"[0, 1, 2]"
200102,0.1457047325102866,[2],0.037037037037037035,[2]
003002,0.14570473251028662,[0],0.037037037037037035,[0]
012002,0.18415637860082282,"[0, 1]",0.05555555555555555,"[0, 1, 3]"
102002,0.14570473251028662,[1],0.037037037037037035,[1]
021002,0.18415637860082282,"[0, 2]",0.05555555555555555,"[0, 2, 3]"
111002,0.18415637860082282,"[1, 2]",0.05555555555555555,"[0, 1, 2]"
201002,0.14570473251028662,[2],0.037037037037037035,[2]
030002,0.14570473251028654,[0],0.037037037037037035,[0]
