Combination,TwoChance,TwoKeptPositions,OneChance,OneKeptPositions
000005,0.41178777371340375,[],0.15432098765432098,[]
000014,0.41178777371340375,[],0.15432098765432098,[]
000104,0.4920267489711865,[0],0.21296296296296297,[0]
001004,0.49202674897118637,[0],0.21296296296296297,[0]
010004,0.41178777371340375,[],0.15432098765432098,[]
100004,0.41178777371340375,[],0.15432098765432098,[]
000023,0.41178777371340375,[],0.15432098765432098,[]
000113,0.517746913580247,"[0, 1, 2]",0.3055555555555556,"[0, 1, 2]"
001013,0.5177469135802472,"[0, 1, 2]",0.3055555555555556,"[0, 1, 2]"
010013,0.41178777371340375,[],0.15432098765432098,[]
100013,0.41178777371340375,[],0.15432098765432098,[]
000203,0.4920267489711865,[0],0.21296296296296297,[0]
001103,0.6584362139917705,"[0, 1]",0.3611111111111111,"[0, 1, 2]"
010103,0.5150462962962972,"[0, 1]",0.25,"[0, 1]"
100103,0.4920267489711865,[1],0.21296296296296297,[1]
002003,0.49202674897118637,[0],0.21296296296296297,[0]
011003,0.5150462962962971,"[0, 1]",0.25,"[0, 1]"
101003,0.49202674897118637,[1],0.21296296296296297,[1]
020003,0.41178777371340375,[],0.15432098765432098,[]
110003,0.41178777371340375,[],0.15432098765432098,[]
200003,0.41178777371340375,[],0.15432098765432098,[]
000032,0.41178777371340375,[],0.15432098765432098,[]
000122,0.517746913580247,"[0, 1, 3]",0.3055555555555556,"[0, 1, 3]"
001022,0.5177469135802472,"[0, 1, 3]",0.3055555555555556,"[0, 1, 3]"
010022,0.41178777371340375,[],0.15432098765432098,[]
100022,0.41178777371340375,[],0.15432098765432098,[]
000212,0.517746913580247,"[0, 2, 3]",0.3055555555555556,"[0, 2, 3]"
001112,1,"[0, 1, 2, 3, 4]",1,"[0, 1, 2, 3, 4]"
010112,0.517746913580247,"[0, 1, 2]",0.3055555555555556,"[0, 1, 2]"
100112,0.517746913580247,"[1, 2, 3]",0.3055555555555556,"[1, 2, 3]"
002012,0.5177469135802472,"[0, 2, 3]",0.3055555555555556,"[0, 2, 3]"
011012,0.5177469135802472,"[0, 1, 2]",0.3055555555555556,"[0, 1, 2]"
101012,0.5177469135802472,"[1, 2, 3]",0.3055555555555556,"[1, 2, 3]"
020012,0.41178777371340375,[],0.15432098765432098,[]
110012,0.41178777371340375,[],0.15432098765432098,[]
200012,0.41178777371340375,[],0.15432098765432098,[]
000302,0.4920267489711865,[0],0.21296296296296297,[0]
001202,0.6584362139917705,"[0, 1]",0.3611111111111111,"[0, 1, 3]"
010202,0.5150462962962972,"[0, 1]",0.25,"[0, 1]"
100202,0.4920267489711865,[1],0.21296296296296297,[1]
002102,0.6584362139917705,"[0, 2]",0.3611111111111111,"[0, 2, 3]"
011102,0.8024691358024694,"[0, 1, 2]",0.5555555555555556,"[0, 1, 2]"
101102,0.6584362139917705,"[1, 2]",0.3611111111111111,"[0, 1, 2]"
020102,0.5150462962962972,"[0, 2]",0.25,"[0, 2]"
110102,0.517746913580247,"[0, 1, 2]",0.3055555555555556,"[0, 1, 2]"
200102,0.4920267489711865,[2],0.21296296296296297,[2]
003002,0.49202674897118637,[0],0.21296296296296297,[0]
012002,0.5150462962962971,"[0, 1]",0.25,"[0, 1]"
102002,0.49202674897118637,[1],0.21296296296296297,[1]
021002,0.5150462962962971,"[0, 2]",0.25,"[0, 2]"
111002,0.5177469135802472,"[0, 1, 2]",0.3055555555555556,"[0, 1, 2]"
201002,0.49202674897118637,[2],0.21296296296296297,[2]
030002,0.41178777371340375,[],0.15432098765432098,[]
120002,0.41178777371340375,[],0.15432098765432098,[]
210002,0.41178777371340375,[],0.15432098765432098,[]
300002,0.41178777371340375,[],0.15432098765432098,[]
000041,0.41178777371340375,[],0.15432098765432098,[]
