Combination,TwoChance,TwoKeptPositions,OneChance,OneKeptPositions
000005,0.0026634890885116644,[],0.0001286008230452675,[]
000014,0.0026634890885116644,[],0.0001286008230452675,[]
000104,0.0026634890885116644,[],0.0001286008230452675,[]
001004,0.008716873380582458,[0],0.0007716049382716049,[0]
010004,0.0026634890885116644,[],0.0001286008230452675,[]
100004,0.0026634890885116644,[],0.0001286008230452675,[]
000023,0.0026634890885116644,[],0.0001286008230452675,[]
000113,0.0026634890885116644,[],0.0001286008230452675,[]
001013,0.008716873380582458,[0],0.0007716049382716049,[0]
010013,0.0026634890885116644,[],0.0001286008230452675,[]
100013,0.0026634890885116644,[],0.0001286008230452675,[]
000203,0.0026634890885116644,[],0.0001286008230452675,[]
001103,0.008716873380582458,[0],0.0007716049382716049,[0]
010103,0.0026634890885116644,[],0.0001286008230452675,[]
100103,0.0026634890885116644,[],0.0001286008230452675,[]
002003,0.028527949245541858,"[0, 1]",0.004629629629629629,"[0, 1]"
011003,0.008716873380582458,[1],0.0007716049382716049,[1]
101003,0.008716873380582458,[1],0.0007716049382716049,[1]
020003,0.0026634890885116644,[],0.0001286008230452675,[]
110003,0.0026634890885116644,[],0.0001286008230452675,[]
200003,0.0026634890885116644,[],0.0001286008230452675,[]
000032,0.0026634890885116644,[],0.0001286008230452675,[]
000122,0.0026634890885116644,[],0.0001286008230452675,[]
001022,0.008716873380582458,[0],0.0007716049382716049,[0]
010022,0.0026634890885116644,[],0.0001286008230452675,[]
100022,0.0026634890885116644,[],0.0001286008230452675,[]
000212,0.0026634890885116644,[],0.0001286008230452675,[]
001112,0.008716873380582458,[0],0.0007716049382716049,[0]
010112,0.0026634890885116644,[],0.0001286008230452675,[]
100112,0.0026634890885116644,[],0.0001286008230452675,[]
002012,0.028527949245541858,"[0, 1]",0.004629629629629629,"[0, 1]"
011012,0.008716873380582458,[1],0.0007716049382716049,[1]
101012,0.008716873380582458,[1],0.0007716049382716049,[1]
020012,0.0026634890885116644,[],0.0001286008230452675,[]
110012,0.0026634890885116644,[],0.0001286008230452675,[]
200012,0.0026634890885116644,[],0.0001286008230452675,[]
000302,0.0026634890885116644,[],0.0001286008230452675,[]
001202,0.008716873380582458,[0],0.0007716049382716049,[0]
010202,0.0026634890885116644,[],0.0001286008230452675,[]
100202,0.0026634890885116644,[],0.0001286008230452675,[]
002102,0.028527949245541858,"[0, 1]",0.004629629629629629,"[0, 1]"
011102,0.008716873380582458,[1],0.0007716049382716049,[1]
101102,0.008716873380582458,[1],0.0007716049382716049,[1]
020102,0.0026634890885116644,[],0.0001286008230452675,[]
110102,0.0026634890885116644,[],0.0001286008230452675,[]
200102,0.0026634890885116644,[],0.0001286008230452675,[]
003002,0.09336419753086414,"[0, 1, 2]",0.027777777777777776,"[0, 1, 2]"
012002,0.028527949245541858,"[1, 2]",0.004629629629629629,"[1, 2]"
102002,0.028527949245541858,"[1, 2]",0.004629629629629629,"[1, 2]"
021002,0.008716873380582458,[2],0.0007716049382716049,[2]
