Combination,TwoChance,TwoKeptPositions,OneChance,OneKeptPositions
000005,1,"[0, 1, 2]",1,"[0, 1, 2]"
000014,1,"[1, 2, 3]",1,"[1, 2, 3]"
000104,1,"[1, 2, 3]",1,"[1, 2, 3]"
001004,1,"[1, 2, 3]",1,"[1, 2, 3]"
010004,1,"[1, 2, 3]",1,"[1, 2, 3]"
100004,1,"[1, 2, 3]",1,"[1, 2, 3]"
000023,1,"[2, 3, 4]",1,"[2, 3, 4]"
000113,1,"[2, 3, 4]",1,"[2, 3, 4]"
001013,1,"[2, 3, 4]",1,"[2, 3, 4]"
010013,1,"[2, 3, 4]",1,"[2, 3, 4]"
100013,1,"[2, 3, 4]",1,"[2, 3, 4]"
000203,1,"[2, 3, 4]",1,"[2, 3, 4]"
001103,1,"[2, 3, 4]",1,"[2, 3, 4]"
010103,1,"[2, 3, 4]",1,"[2, 3, 4]"
100103,1,"[2, 3, 4]",1,"[2, 3, 4]"
002003,1,"[2, 3, 4]",1,"[2, 3, 4]"
011003,1,"[2, 3, 4]",1,"[2, 3, 4]"
101003,1,"[2, 3, 4]",1,"[2, 3, 4]"
020003,1,"[2, 3, 4]",1,"[2, 3, 4]"
110003,1,"[2, 3, 4]",1,"[2, 3, 4]"
200003,1,"[2, 3, 4]",1,"[2, 3, 4]"
000032,1,"[0, 1, 2]",1,"[0, 1, 2]"
000122,0.6913580246913585,"[1, 2]",0.4444444444444444,"[1, 2]"
001022,0.6913580246913585,"[1, 2]",0.4444444444444444,"[1, 2]"
010022,0.6913580246913585,"[1, 2]",0.4444444444444444,"[1, 2]"
100022,0.6913580246913585,"[1, 2]",0.4444444444444444,"[1, 2]"
000212,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
001112,0.6913580246913574,"[3, 4]",0.4444444444444444,"[3, 4]"
010112,0.6913580246913574,"[3, 4]",0.4444444444444444,"[3, 4]"
100112,0.6913580246913574,"[3, 4]",0.4444444444444444,"[3, 4]"
002012,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
011012,0.6913580246913574,"[3, 4]",0.4444444444444444,"[3, 4]"
101012,0.6913580246913574,"[3, 4]",0.4444444444444444,"[3, 4]"
020012,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
110012,0.6913580246913574,"[3, 4]",0.4444444444444444,"[3, 4]"
200012,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
000302,1,"[0, 1, 2]",1,"[0, 1, 2]"
001202,0.6913580246913588,"[1, 2]",0.4444444444444444,"[1, 2]"
010202,0.6913580246913588,"[1, 2]",0.4444444444444444,"[1, 2]"
100202,0.6913580246913588,"[1, 2]",0.4444444444444444,"[1, 2]"
002102,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
011102,0.6913580246913574,"[3, 4]",0.4444444444444444,"[3, 4]"
101102,0.6913580246913574,"[3, 4]",0.4444444444444444,"[3, 4]"
020102,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
110102,0.6913580246913574,"[3, 4]",0.4444444444444444,"[3, 4]"
200102,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
003002,1,"[0, 1, 2]",1,"[0, 1, 2]"
012002,0.6913580246913588,"[1, 2]",0.4444444444444444,"[1, 2]"
102002,0.6913580246913588,"[1, 2]",0.4444444444444444,"[1, 2]"
021002,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
111002,0.6913580246913574,"[3, 4]",0.4444444444444444,"[3, 4]"
201002,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
030002,1,"[0, 1, 2]",1,"[0, 1, 2]"
120002,0.6913580246913588,"[1, 2]",0.4444444444444444,"[1, 2]"
210002,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
300002,1,"[0, 1, 2]",1,"[0, 1, 2]"
000041,1,"[0, 1, 2]",1,"[0, 1, 2]"
000131,1,"[1, 2, 3]",1,"[1, 2, 3]"
001031,1,"[1, 2, 3]",1,"[1, 2, 3]"
010031,1,"[1, 2, 3]",1,"[1, 2, 3]"
100031,1,"[1, 2, 3]",1,"[1, 2, 3]"
000221,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
001121,0.6913580246913585,"[2, 3]",0.4444444444444444,"[2, 3]"
010121,0.6913580246913585,"[2, 3]",0.4444444444444444,"[2, 3]"
100121,0.6913580246913585,"[2, 3]",0.4444444444444444,"[2, 3]"
002021,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
011021,0.6913580246913585,"[2, 3]",0.4444444444444444,"[2, 3]"
101021,0.6913580246913585,"[2, 3]",0.4444444444444444,"[2, 3]"
020021,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
110021,0.6913580246913585,"[2, 3]",0.4444444444444444,"[2, 3]"
200021,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
000311,1,"[0, 1, 2]",1,"[0, 1, 2]"
001211,0.6913580246913588,"[1, 2]",0.4444444444444444,"[1, 2]"
010211,0.6913580246913588,"[1, 2]",0.4444444444444444,"[1, 2]"
100211,0.6913580246913588,"[1, 2]",0.4444444444444444,"[1, 2]"
002111,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
011111,0.5413237311385539,[4],0.21296296296296297,[0]
101111,0.5413237311385539,[4],0.21296296296296297,[0]
020111,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
110111,0.5413237311385539,[4],0.21296296296296297,[0]
200111,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
003011,1,"[0, 1, 2]",1,"[0, 1, 2]"
012011,0.6913580246913588,"[1, 2]",0.4444444444444444,"[1, 2]"
102011,0.6913580246913588,"[1, 2]",0.4444444444444444,"[1, 2]"
021011,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
111011,0.5413237311385539,[4],0.21296296296296297,[0]
201011,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
030011,1,"[0, 1, 2]",1,"[0, 1, 2]"
120011,0.6913580246913588,"[1, 2]",0.4444444444444444,"[1, 2]"
210011,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
300011,1,"[0, 1, 2]",1,"[0, 1, 2]"
000401,1,"[0, 1, 2]",1,"[0, 1, 2]"
001301,1,"[1, 2, 3]",1,"[1, 2, 3]"
010301,1,"[1, 2, 3]",1,"[1, 2, 3]"
100301,1,"[1, 2, 3]",1,"[1, 2, 3]"
002201,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
011201,0.6913580246913588,"[2, 3]",0.4444444444444444,"[2, 3]"
101201,0.6913580246913588,"[2, 3]",0.4444444444444444,"[2, 3]"
020201,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
110201,0.6913580246913588,"[2, 3]",0.4444444444444444,"[2, 3]"
200201,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
003101,1,"[0, 1, 2]",1,"[0, 1, 2]"
012101,0.6913580246913588,"[1, 2]",0.4444444444444444,"[1, 2]"
102101,0.6913580246913588,"[1, 2]",0.4444444444444444,"[1, 2]"
021101,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
111101,0.5413237311385539,[4],0.21296296296296297,[0]
201101,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
030101,1,"[0, 1, 2]",1,"[0, 1, 2]"
120101,0.6913580246913588,"[1, 2]",0.4444444444444444,"[1, 2]"
210101,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
300101,1,"[0, 1, 2]",1,"[0, 1, 2]"
004001,1,"[0, 1, 2]",1,"[0, 1, 2]"
013001,1,"[1, 2, 3]",1,"[1, 2, 3]"
103001,1,"[1, 2, 3]",1,"[1, 2, 3]"
022001,0.6913580246913588,"[0, 1]",0.4444444444444444,"[0, 1]"
