Combination,TwoChance,TwoKeptPositions,OneChance,OneKeptPositions
000005,0.002663489088511705,[],0.0001286008230452675,[]
000014,0.002663489088511705,[],0.0001286008230452675,[]
000104,0.002663489088511705,[],0.0001286008230452675,[]
001004,0.002663489088511705,[],0.0001286008230452675,[]
010004,0.008716873380582484,[0],0.0007716049382716049,[0]
100004,0.002663489088511705,[],0.0001286008230452675,[]
000023,0.002663489088511705,[],0.0001286008230452675,[]
000113,0.002663489088511705,[],0.0001286008230452675,[]
001013,0.002663489088511705,[],0.0001286008230452675,[]
010013,0.008716873380582484,[0],0.0007716049382716049,[0]
100013,0.002663489088511705,[],0.0001286008230452675,[]
000203,0.002663489088511705,[],0.0001286008230452675,[]
001103,0.002663489088511705,[],0.0001286008230452675,[]
010103,0.008716873380582484,[0],0.0007716049382716049,[0]
100103,0.002663489088511705,[],0.0001286008230452675,[]
002003,0.002663489088511705,[],0.0001286008230452675,[]
011003,0.008716873380582484,[0],0.0007716049382716049,[0]
101003,0.002663489088511705,[],0.0001286008230452675,[]
020003,0.028527949245541872,"[0, 1]",0.004629629629629629,"[0, 1]"
110003,0.008716873380582484,[1],0.0007716049382716049,[1]
200003,0.002663489088511705,[],0.0001286008230452675,[]
000032,0.002663489088511705,[],0.0001286008230452675,[]
000122,0.002663489088511705,[],0.0001286008230452675,[]
001022,0.002663489088511705,[],0.0001286008230452675,[]
010022,0.008716873380582484,[0],0.0007716049382716049,[0]
100022,0.002663489088511705,[],0.0001286008230452675,[]
000212,0.002663489088511705,[],0.0001286008230452675,[]
001112,0.002663489088511705,[],0.0001286008230452675,[]
010112,0.008716873380582484,[0],0.0007716049382716049,[0]
100112,0.002663489088511705,[],0.0001286008230452675,[]
002012,0.002663489088511705,[],0.0001286008230452675,[]
011012,0.008716873380582484,[0],0.0007716049382716049,[0]
101012,0.002663489088511705,[],0.0001286008230452675,[]
020012,0.028527949245541872,"[0, 1]",0.004629629629629629,"[0, 1]"
110012,0.008716873380582484,[1],0.0007716049382716049,[1]
200012,0.002663489088511705,[],0.0001286008230452675,[]
000302,0.002663489088511705,[],0.0001286008230452675,[]
001202,0.002663489088511705,[],0.0001286008230452675,[]
010202,0.008716873380582484,[0],0.0007716049382716049,[0]
100202,0.002663489088511705,[],0.0001286008230452675,[]
002102,0.002663489088511705,[],0.0001286008230452675,[]
011102,0.008716873380582484,[0],0.0007716049382716049,[0]
101102,0.002663489088511705,[],0.0001286008230452675,[]
020102,0.028527949245541872,"[0, 1]",0.004629629629629629,"[0, 1]"
110102,0.008716873380582484,[1],0.0007716049382716049,[1]
200102,0.002663489088511705,[],0.0001286008230452675,[]
003002,0.002663489088511705,[],0.0001286008230452675,[]
012002,0.008716873380582484,[0],0.0007716049382716049,[0]
102002,0.002663489088511705,[],0.0001286008230452675,[]
021002,0.028527949245541872,"[0, 1]",0.004629629629629629,"[0, 1]"
111002,0.008716873380582484,[1],0.0007716049382716049,[1]
201002,0.002663489088511705,[],0.0001286008230452675,[]
030002,0.09336419753086414,"[0, 1, 2]",0.027777777777777776,"[0, 1, 2]"
120002,0.028527949245541872,"[1, 2]",0.004629629629629629,"[1, 2]"
210002,0.008716873380582484,[2],0.0007716049382716049,[2]
300002,0.002663489088511705,[],0.0001286008230452675,[]
000041,0.002663489088511705,[],0.0001286008230452675,[]
000131,0.002663489088511705,[],0.0001286008230452675,[]
001031,0.002663489088511705,[],0.0001286008230452675,[]
010031,0.008716873380582484,[0],0.0007716049382716049,[0]
100031,0.002663489088511705,[],0.0001286008230452675,[]
000221,0.002663489088511705,[],0.0001286008230452675,[]
001121,0.002663489088511705,[],0.0001286008230452675,[]
010121,0.008716873380582484,[0],0.0007716049382716049,[0]
100121,0.002663489088511705,[],0.0001286008230452675,[]
002021,0.002663489088511705,[],0.0001286008230452675,[]
011021,0.008716873380582484,[0],0.0007716049382716049,[0]
101021,0.002663489088511705,[],0.0001286008230452675,[]
020021,0.028527949245541872,"[0, 1]",0.004629629629629629,"[0, 1]"
110021,0.008716873380582484,[1],0.0007716049382716049,[1]
200021,0.002663489088511705,[],0.0001286008230452675,[]
000311,0.002663489088511705,[],0.0001286008230452675,[]
001211,0.002663489088511705,[],0.0001286008230452675,[]
010211,0.008716873380582484,[0],0.0007716049382716049,[0]
100211,0.002663489088511705,[],0.0001286008230452675,[]
002111,0.002663489088511705,[],0.0001286008230452675,[]
011111,0.008716873380582484,[0],0.0007716049382716049,[0]
101111,0.002663489088511705,[],0.0001286008230452675,[]
020111,0.028527949245541872,"[0, 1]",0.004629629629629629,"[0, 1]"
110111,0.008716873380582484,[1],0.0007716049382716049,[1]
200111,0.002663489088511705,[],0.0001286008230452675,[]
003011,0.002663489088511705,[],0.0001286008230452675,[]
012011,0.008716873380582484,[0],0.0007716049382716049,[0]
102011,0.002663489088511705,[],0.0001286008230452675,[]
021011,0.028527949245541872,"[0, 1]",0.004629629629629629,"[0, 1]"
111011,0.008716873380582484,[1],0.0007716049382716049,[1]
201011,0.002663489088511705,[],0.0001286008230452675,[]
030011,0.09336419753086414,"[0, 1, 2]",0.027777777777777776,"[0, 1, 2]"
120011,0.028527949245541872,"[1, 2]",0.004629629629629629,"[1, 2]"
210011,0.008716873380582484,[2],0.0007716049382716049,[2]
300011,0.002663489088511705,[],0.0001286008230452675,[]
000401,0.002663489088511705,[],0.0001286008230452675,[]
001301,0.002663489088511705,[],0.0001286008230452675,[]
010301,0.008716873380582484,[0],0.0007716049382716049,[0]
100301,0.002663489088511705,[],0.0001286008230452675,[]
002201,0.002663489088511705,[],0.0001286008230452675,[]
011201,0.008716873380582484,[0],0.0007716049382716049,[0]
101201,0.002663489088511705,[],0.0001286008230452675,[]
020201,0.028527949245541872,"[0, 1]",0.004629629629629629,"[0, 1]"
110201,0.008716873380582484,[1],0.0007716049382716049,[1]
200201,0.002663489088511705,[],0.0001286008230452675,[]
003101,0.002663489088511705,[],0.0001286008230452675,[]
012101,0.008716873380582484,[0],0.0007716049382716049,[0]
102101,0.002663489088511705,[],0.0001286008230452675,[]
021101,0.028527949245541872,"[0, 1]",0.004629629629629629,"[0, 1]"
111101,0.008716873380582484,[1],0.0007716049382716049,[1]
201101,0.002663489088511705,[],0.0001286008230452675,[]
030101,0.09336419753086414,"[0, 1, 2]",0.027777777777777776,"[0, 1, 2]"
120101,0.028527949245541872,"[1, 2]",0.004629629629629629,"[1, 2]"
210101,0.008716873380582484,[2],0.0007716049382716049,[2]
