Combination,TwoChance,TwoKeptPositions,OneChance,OneKeptPositions
000005,1,"[0, 1, 2, 3, 4]",1,"[0, 1, 2, 3, 4]"
000014,0.3055555555555555,"[1, 2, 3, 4]",0.16666666666666666,"[1, 2, 3, 4]"
000104,0.3055555555555555,"[1, 2, 3, 4]",0.16666666666666666,"[1, 2, 3, 4]"
001004,0.3055555555555555,"[1, 2, 3, 4]",0.16666666666666666,"[1, 2, 3, 4]"
010004,0.3055555555555555,"[1, 2, 3, 4]",0.16666666666666666,"[1, 2, 3, 4]"
100004,0.3055555555555555,"[1, 2, 3, 4]",0.16666666666666666,"[1, 2, 3, 4]"
000023,0.09336419753086417,"[2, 3, 4]",0.027777777777777776,"[2, 3, 4]"
000113,0.09336419753086417,"[2, 3, 4]",0.027777777777777776,"[2, 3, 4]"
001013,0.09336419753086417,"[2, 3, 4]",0.027777777777777776,"[2, 3, 4]"
010013,0.09336419753086417,"[2, 3, 4]",0.027777777777777776,"[2, 3, 4]"
100013,0.09336419753086417,"[2, 3, 4]",0.027777777777777776,"[2, 3, 4]"
000203,0.09336419753086417,"[2, 3, 4]",0.027777777777777776,"[2, 3, 4]"
001103,0.09336419753086417,"[2, 3, 4]",0.027777777777777776,"[2, 3, 4]"
010103,0.09336419753086417,"[2, 3, 4]",0.027777777777777776,"[2, 3, 4]"
100103,0.09336419753086417,"[2, 3, 4]",0.027777777777777776,"[2, 3, 4]"
002003,0.09336419753086417,"[2, 3, 4]",0.027777777777777776,"[2, 3, 4]"
011003,0.09336419753086417,"[2, 3, 4]",0.027777777777777776,"[2, 3, 4]"
101003,0.09336419753086417,"[2, 3, 4]",0.027777777777777776,"[2, 3, 4]"
020003,0.09336419753086417,"[2, 3, 4]",0.027777777777777776,"[2, 3, 4]"
110003,0.09336419753086417,"[2, 3, 4]",0.027777777777777776,"[2, 3, 4]"
200003,0.09336419753086417,"[2, 3, 4]",0.027777777777777776,"[2, 3, 4]"
000032,0.09336419753086418,"[0, 1, 2]",0.027777777777777776,"[0, 1, 2]"
000122,0.029063786008230428,"[1, 2]",0.004629629629629629,"[1, 2]"
001022,0.029063786008230428,"[1, 2]",0.004629629629629629,"[1, 2]"
010022,0.029063786008230428,"[1, 2]",0.004629629629629629,"[1, 2]"
100022,0.029063786008230428,"[1, 2]",0.004629629629629629,"[1, 2]"
000212,0.02906378600823045,"[0, 1]",0.004629629629629629,"[0, 1]"
001112,0.029063786008230428,"[3, 4]",0.004629629629629629,"[3, 4]"
010112,0.029063786008230428,"[3, 4]",0.004629629629629629,"[3, 4]"
100112,0.029063786008230428,"[3, 4]",0.004629629629629629,"[3, 4]"
002012,0.02906378600823047,"[0, 1]",0.004629629629629629,"[0, 1]"
011012,0.029063786008230428,"[3, 4]",0.004629629629629629,"[3, 4]"
101012,0.029063786008230428,"[3, 4]",0.004629629629629629,"[3, 4]"
020012,0.029063786008230483,"[0, 1]",0.004629629629629629,"[0, 1]"
110012,0.029063786008230428,"[3, 4]",0.004629629629629629,"[3, 4]"
200012,0.029063786008230494,"[0, 1]",0.004629629629629629,"[0, 1]"
000302,0.09336419753086417,"[0, 1, 2]",0.027777777777777776,"[0, 1, 2]"
001202,0.02906378600823045,"[1, 2]",0.004629629629629629,"[1, 2]"
010202,0.02906378600823045,"[1, 2]",0.004629629629629629,"[1, 2]"
100202,0.02906378600823045,"[1, 2]",0.004629629629629629,"[1, 2]"
002102,0.02906378600823047,"[0, 1]",0.004629629629629629,"[0, 1]"
011102,0.029063786008230428,"[3, 4]",0.004629629629629629,"[3, 4]"
101102,0.029063786008230428,"[3, 4]",0.004629629629629629,"[3, 4]"
020102,0.029063786008230483,"[0, 1]",0.004629629629629629,"[0, 1]"
110102,0.029063786008230428,"[3, 4]",0.004629629629629629,"[3, 4]"
200102,0.029063786008230494,"[0, 1]",0.004629629629629629,"[0, 1]"
003002,0.09336419753086414,"[0, 1, 2]",0.027777777777777776,"[0, 1, 2]"
012002,0.02906378600823047,"[1, 2]",0.004629629629629629,"[1, 2]"
102002,0.02906378600823047,"[1, 2]",0.004629629629629629,"[1, 2]"
021002,0.029063786008230483,"[0, 1]",0.004629629629629629,"[0, 1]"
111002,0.029063786008230428,"[3, 4]",0.004629629629629629,"[3, 4]"
201002,0.029063786008230494,"[0, 1]",0.004629629629629629,"[0, 1]"
030002,0.09336419753086414,"[0, 1, 2]",0.027777777777777776,"[0, 1, 2]"
120002,0.029063786008230483,"[1, 2]",0.004629629629629629,"[1, 2]"
210002,0.029063786008230494,"[0, 1]",0.004629629629629629,"[0, 1]"
300002,0.09336419753086413,"[0, 1, 2]",0.027777777777777776,"[0, 1, 2]"
000041,0.3055555555555555,"[0, 1, 2, 3]",0.16666666666666666,"[0, 1, 2, 3]"
000131,0.09336419753086418,"[1, 2, 3]",0.027777777777777776,"[1, 2, 3]"
001031,0.09336419753086418,"[1, 2, 3]",0.027777777777777776,"[1, 2, 3]"
010031,0.09336419753086418,"[1, 2, 3]",0.027777777777777776,"[1, 2, 3]"
100031,0.09336419753086418,"[1, 2, 3]",0.027777777777777776,"[1, 2, 3]"
000221,0.02906378600823045,"[0, 1]",0.004629629629629629,"[0, 1]"
001121,0.029063786008230428,"[2, 3]",0.004629629629629629,"[2, 3]"
010121,0.029063786008230428,"[2, 3]",0.004629629629629629,"[2, 3]"
100121,0.029063786008230428,"[2, 3]",0.004629629629629629,"[2, 3]"
002021,0.02906378600823047,"[0, 1]",0.004629629629629629,"[0, 1]"
011021,0.029063786008230428,"[2, 3]",0.004629629629629629,"[2, 3]"
101021,0.029063786008230428,"[2, 3]",0.004629629629629629,"[2, 3]"
020021,0.029063786008230483,"[0, 1]",0.004629629629629629,"[0, 1]"
110021,0.029063786008230428,"[2, 3]",0.004629629629629629,"[2, 3]"
200021,0.029063786008230494,"[0, 1]",0.004629629629629629,"[0, 1]"
000311,0.09336419753086417,"[0, 1, 2]",0.027777777777777776,"[0, 1, 2]"
001211,0.02906378600823045,"[1, 2]",0.004629629629629629,"[1, 2]"
010211,0.02906378600823045,"[1, 2]",0.004629629629629629,"[1, 2]"
100211,0.02906378600823045,"[1, 2]",0.004629629629629629,"[1, 2]"
002111,0.02906378600823047,"[0, 1]",0.004629629629629629,"[0, 1]"
011111,0.012631458619113132,[0],0.0007716049382716049,[0]
101111,0.012631458619113153,[0],0.0007716049382716049,[0]
020111,0.029063786008230483,"[0, 1]",0.004629629629629629,"[0, 1]"
110111,0.012631458619113153,[0],0.0007716049382716049,[0]
200111,0.029063786008230494,"[0, 1]",0.004629629629629629,"[0, 1]"
003011,0.09336419753086414,"[0, 1, 2]",0.027777777777777776,"[0, 1, 2]"
012011,0.02906378600823047,"[1, 2]",0.004629629629629629,"[1, 2]"
102011,0.02906378600823047,"[1, 2]",0.004629629629629629,"[1, 2]"
021011,0.029063786008230483,"[0, 1]",0.004629629629629629,"[0, 1]"
111011,0.012631458619113153,[0],0.0007716049382716049,[0]
201011,0.029063786008230494,"[0, 1]",0.004629629629629629,"[0, 1]"
030011,0.09336419753086414,"[0, 1, 2]",0.027777777777777776,"[0, 1, 2]"
120011,0.029063786008230483,"[1, 2]",0.004629629629629629,"[1, 2]"
